Country,Happiness Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,airports,alcohol,birthRate,deathRate,gdpPerCapita,growthRate,internetUsers,lifeExpectancy,medianAge,migrationRate,obesity,population,railways,roadways,taxRate,youthUnemployment
Belarus,5.323,1.465,0.789,0.235,0.094,0.142,65,10.57,8.87,12.81,"$19,800",-0.32,"8,352,000",74.54,40.9,0.72,24.5,"9,383,853","5,528","86,600",12.02,11.3
Greece,5.287,1.156,0.999,0.067,0.0,0.034,77,6.33,7.52,12.02,"$29,500",-0.35,"7,800,000",81.71,45.3,1.03,24.9,"10,497,595","2,345","117,000",24.74,36.9
Mongolia,5.285,1.531,0.667,0.317,0.235,0.038,44,5.46,15.37,6.33,"$11,700",0.83,"2,772,000",71.65,29.8,-0.77,20.6,"3,255,468","1,815","113,200",14.15,21.0
North Macedonia,5.274,1.294,0.838,0.345,0.185,0.034,10,3.9,10.33,9.61,"$16,500",0.11,"1,743,000",77.09,39.0,0.38,22.4,"2,133,410",699,"14,182",16.13,34.1
Nigeria,5.265,1.111,0.245,0.426,0.215,0.041,54,4.49,34.0,8.52,"$4,900",2.53,"115,500,000",61.79,18.6,-0.21,8.9,"230,842,743","3,798","195,000",3.4,19.6
Kyrgyzstan,5.261,1.438,0.723,0.508,0.3,0.023,28,4.02,19.08,6.07,"$4,800",0.82,"5,070,000",72.63,27.3,-4.83,16.6,"6,122,781",424,"34,000",14.92,19.3
Turkmenistan,5.247,1.538,0.657,0.394,0.244,0.028,26,2.88,17.16,5.96,"$15,000",0.95,"1,563,023",72.11,29.2,-1.69,18.6,"5,690,818","5,113","58,592",14.9,11.0
Algeria,5.211,1.16,0.785,0.086,0.073,0.114,149,0.59,17.84,4.33,"$11,000",1.27,"31,240,000",78.27,28.9,-0.81,27.4,"44,758,398","4,020","104,000",32.3,31.9
Morocco,5.208,0.782,0.782,0.418,0.036,0.076,62,0.51,17.1,6.61,"$8,100",0.88,"32,560,000",73.95,29.1,-1.73,26.1,"37,067,420","2,067","57,300",20.02,27.2
Azerbaijan,5.208,1.147,0.769,0.351,0.035,0.182,23,1.38,13.2,6.92,"$14,400",0.63,"8,600,000",74.42,32.6,0.0,19.9,"10,420,515","2,944.3","24,981",14.22,16.5
Lebanon,5.197,1.224,0.815,0.216,0.166,0.027,8,1.14,12.86,5.57,"$13,000",0.64,"4,872,000",79.0,33.7,-0.94,32.0,"5,331,203",401,"21,705",8.9,29.6
Indonesia,5.192,1.203,0.66,0.491,0.498,0.028,673,0.08,15.05,6.77,"$11,900",0.76,"167,400,000",73.33,31.1,-0.71,6.9,"279,476,346","8,159","496,607",8.31,16.1
China,5.191,1.125,0.893,0.521,0.058,0.1,507,4.48,9.69,7.82,"$16,300",0.18,"1,022,000,000",78.23,38.4,-0.11,6.2,"1,413,142,846","150,000","5,200,000",8.09,11.4
Vietnam,5.175,1.346,0.851,0.543,0.147,0.073,45,3.41,15.29,5.77,"$10,600",0.93,"71,780,000",75.79,31.9,-0.21,2.1,"104,799,174","2,600","195,468",24.8,7.2
Bhutan,5.082,1.321,0.604,0.457,0.37,0.167,3,0.07,15.61,6.05,"$10,900",0.96,"670,800",73.01,29.1,0.0,6.4,"876,181",,"12,205",12.98,18.8
Cameroon,5.044,0.91,0.331,0.381,0.187,0.037,33,4.09,35.13,7.54,"$3,700",2.73,"12,420,000",63.74,18.5,-0.3,11.4,"30,135,732",987,"77,589",10.87,6.6
Bulgaria,5.011,1.513,0.815,0.311,0.081,0.004,68,11.18,7.97,14.31,"$24,400",-0.66,"5,175,000",75.83,43.7,-0.29,25.0,"6,827,736","4,029","19,512",20.27,14.2
